,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
United Kingdom,ATM Cards,Number of Cards,000 cards,-,2.1,0.4,3474.6
United Kingdom,Charge Cards,Number of Cards,000 cards,-,-40.8,-10.0,-669.1
United Kingdom,Credit Cards,Number of Cards,000 cards,-,3.8,0.7,2177.5
United Kingdom,Debit Cards,Number of Cards,000 cards,-,9.9,1.9,9375.7
United Kingdom,Pre-Paid Cards,Number of Cards,000 cards,-,14.6,2.8,40965.2
United Kingdom,Store Cards,Number of Cards,000 cards,-,-47.6,-12.1,-627.4
United Kingdom,Transactions,Retail Value RSP,GBP million,Current Prices,40.0,7.0,1185732.2
United Kingdom,Total Card Transactions,Retail Value RSP,GBP million,Current Prices,36.7,6.4,346120.3
United Kingdom,ATM Transactions,Retail Value RSP,GBP million,Current Prices,43.3,7.5,49244.8
United Kingdom,Card Payment Transactions,Retail Value RSP,GBP million,Current Prices,35.7,6.3,296875.5
United Kingdom,Charge Card Transactions,Retail Value RSP,GBP million,Current Prices,5.8,1.1,1373.7
United Kingdom,Credit Card Transactions,Retail Value RSP,GBP million,Current Prices,68.5,11.0,98067.2
United Kingdom,Debit Card Transactions,Retail Value RSP,GBP million,Current Prices,30.0,5.4,191694.3
United Kingdom,Pre-Paid Card Transactions,Retail Value RSP,GBP million,Current Prices,23.4,4.3,5807.3
United Kingdom,Store Card Transactions,Retail Value RSP,GBP million,Current Prices,-47.3,-12.0,-66.9
United Kingdom,Commercial Payment Transactions,Retail Value RSP,GBP million,Current Prices,42.1,7.3,793210.9
United Kingdom,Personal Payment Transactions,Retail Value RSP,GBP million,Current Prices,35.6,6.3,343276.5
United Kingdom,Total Non-Card Transactions,Retail Value RSP,GBP million,Current Prices,41.6,7.2,839611.9
United Kingdom,Mobile Payments,Retail Value RSP,GBP million,Current Prices,138.7,19.0,196623.1
,,,,,,,
Research Sources:,,,,,,,
Payments and Lending: Euromonitor from trade sources/national statistics,,,,,,,
,,,,,,,
Date Exported (GMT): 2/4/2026 12:34:23 PM,,,,,,,
© Euromonitor International,,,,,,,
